date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
01-03 13:00,montenegro 1. cfl,fk jezero plav,ofk petrovac,21.0,54.0,25.0,X2,2.85,2.85,2.33,0:1,0,1,0.5985,1.539,6.25
01-03 13:00,montenegro 1. cfl,fk rudar pljevlja,fk sutjeska niksic,16.0,36.0,48.0,X2,3.65,3.05,1.9,1:1,1,1,0.584,1.098,23.04
01-03 13:20,saudi arabia arabia division 1,ohud medina,al orouba sc,41.0,28.0,30.0,12,2.38,2.9,2.7,1:0,1,0,0.9758,0.812,9.0
01-03 13:30,algeria ligue 1,wa tlemcen,rc relizane,52.0,26.0,22.0,1X,1.99,3.0,3.6,0:0,0,0,1.0348,0.78,4.84
01-03 13:30,algeria ligue 1,paradou ac,mc oran,43.0,27.0,30.0,12,1.72,3.2,4.6,0:0,0,0,0.7396,0.864,9.0
01-03 13:30,indonesia liga 1,persija jakarta,persib bandung,32.0,27.0,41.0,12,3.55,2.65,2.16,0:2,0,2,1.136,0.7155,16.81
01-03 13:50,qatar stars league,al rayyan sc,qatar sc,50.0,17.0,33.0,12,1.85,3.4,3.5,2:1,2,1,0.925,0.578,10.89
01-03 14:00,algeria ligue 1,ol. medea,aso chlef,27.0,39.0,34.0,none,2.26,2.65,3.4,1:2,1,2,0.6102,1.0335,11.56
01-03 14:00,algeria ligue 1,rc arbaa,usm alger,36.0,27.0,37.0,12,5.4,3.25,1.61,2:0,2,0,1.944,0.8775,13.69
01-03 14:00,indian super league,hyderabad fc,jamshedpur fc,38.0,38.0,24.0,1X,1.94,3.4,3.6,0:3,0,3,0.7372,1.292,5.76
01-03 15:00,spain tercera division,cd serverense,cd platges de calvia,45.0,18.0,37.0,12,3.6,4.4,1.6,0:1,0,1,1.62,0.792,13.69
01-03 15:15,saudi arabia arabia division 1,al khaleej saihat fc,al qadisiyah,27.0,30.0,44.0,X2,2.23,3.1,2.8,1:0,1,0,0.6021,0.93,19.36
01-03 15:15,niger premier league,sahel sc,as fan,29.0,48.0,23.0,1X,2.6,2.75,2.6,0:3,0,3,0.754,1.32,5.29
01-03 15:30,egypt premier league,misr lel makasa,ismaily sc,39.0,32.0,28.0,none,3.3,2.8,2.26,2:2,2,2,1.287,0.896,7.84
01-03 15:30,romania liga i,fc dinamo bucharest 1948,acs sepsi osk sfântu gheorghe,41.0,25.0,34.0,12,3.95,3.2,1.88,1:3,1,3,1.6195,0.8,11.56
01-03 15:30,bulgarian cup,cska sofia,pfc lokomotiv plovdiv,45.0,34.0,21.0,1X,1.58,3.45,5.2,2:0,2,0,0.711,1.173,4.41
01-03 15:30,burkina faso superdivision,asf bobo dioulasso,rc kadiogo,23.0,55.0,21.0,X,2.5,2.75,2.75,0:1,0,1,0.575,1.5125,4.41
01-03 16:00,qatar stars league,al-sailya,al ahli doha sc,35.0,34.0,32.0,none,1.73,3.45,3.95,2:2,2,2,0.6055,1.173,10.24
01-03 16:00,ethiopia premier league,addis ababa city fc,saint george sc,36.0,19.0,44.0,12,5.2,3.1,1.64,1:3,1,3,1.872,0.589,19.36
01-03 16:15,hungary magyar cup,kazincbarcikai sc,paksi fc,28.0,9.0,64.0,2,15.0,7.0,1.11,0:1,0,1,4.2,0.63,40.96
01-03 16:30,slovenia prvaliga,nk aluminij,nk domzale,21.0,19.0,60.0,2,3.05,3.15,2.09,1:1,1,1,0.6405,0.5985,36.0
01-03 16:30,spain tercera division,ud collerense,cd murense,65.0,19.0,16.0,1,1.86,3.1,3.65,3:1,3,1,1.209,0.589,2.56
01-03 17:00,algeria ligue 1,mc alger,nc magra,50.0,24.0,26.0,12,1.45,3.8,6.4,2:1,2,1,0.725,0.912,6.76
01-03 17:00,poland puchar polski,olimpia grudziadz,wisla krakow,32.0,25.0,43.0,12,6.4,4.4,1.4,1:1,1,1,2.048,1.1,18.49
01-03 17:00,germany amateur regionalliga bayern,tsv 1860 rosenheim,fc augsburg ii,47.0,14.0,39.0,12,4.4,4.3,1.59,1:1,1,1,2.068,0.602,15.21
01-03 17:00,russian cup,fk dinamo moscow,fk nizhny novgorod,54.0,26.0,20.0,1X,1.39,4.0,7.0,3:0,3,0,0.7506,1.04,4.0
01-03 17:00,moldavia divizia nationala,fc sheriff tiraspol,fc milsami,68.0,14.0,18.0,1,1.38,4.2,6.0,1:0,1,0,0.9384,0.588,3.24
